Card #,Name,Description,Location(s),Rarity,Sell Price
1,Goomba,"Max HP: 1, Attack: 1. This lowly goon is always getting stepped on. It isn't easy being a soft, mushroomy minion.",Card Shop; Catch Card/SP; Chapter 1-1: Found in 3D behind a tall pipe in the second area.,★,1
2,Dark Goomba,"Max HP: 10, Attack: 2. This Dark Goomba dwells in a certain secret pit. It's shadowy, adorable, and oh so stompable.",Card Shop; Catch Card/SP,★,2
3,Spiked Goomba,"Max HP: 1, Attack: 2. A Goomba with a spike strapped to its helmet. Head spikes: The ultimate in antistomping technology.",Card Shop; Catch Card/SP,★,2
4,Dark Spiked Goomba,"Max HP: 10, Attack: 4. This spiky guy dwells in a certain secret pit. It may be dark, but it's not dim. Or is it...?",Card Shop; Catch Card/SP,★,3
5,Paragoomba,"Max HP: 1, Attack: 1. A Goomba that has been through airborne training. One stomp, and it's like it never went to flight school.",Card Shop; Catch Card/SP,★,2
6,Dark Paragoomba,"Max HP: 10, Attack: 2. The Dark Paragoomba lives in a certain secret pit. Give it a friendly stomp to turn it into a Dark Goomba.",Card Shop; Catch Card/SP,★,2
7,Gloomba,"Max HP: 2, Attack: 2. A Goomba that thrives in dank, depressing holes. A strict all-mushroom diet makes this guy extra fungal.",Card Shop; Catch Card/SP,★,2
8,Headbonk Goomba,"Max HP: 1, Attack: 2. A tenacious Goomba that'll headbonk anything in sight. Caution: headbonking is a leading cause of headaches.",Card Shop; Catch Card/SP,★,12
9,Dark Headbonk Goomba,"Max HP: 10, Attack: 4. Dark Headbonk Goombas live in a certain secret pit. They look like Dark Goombas, but they bonk!",Card Shop; Catch Card/SP,★,6
10,Koopa Troopa,"Max HP: 1, Attack: 1, Defense: 1. Koopa Troopas have always been causing trouble. When they get attacked, they retreat into their shells. Of course, there's nothing stopping you from kicking it.",Card Shop; Catch Card/SP; Chapter 1-1: Found in a secret area via a 3D-accessible path near the Star Block.,★,2
11,Mega Koopa,"Max HP: 1, Attack: 2, Defense: 1. This Koopa got a Mega Star. Now it's a mega problem. Don't look at it in 3-D, or it'll blow your mind!",Card Shop; Earn 100 shop points,★,100
12,Dark Koopa,"Max HP: 10, Attack: 2, Defense: 3. This guy dwells in a certain secret pit. Like a Koopa, but somehow...darker.",Card Shop; Catch Card/SP,★,3
13,Koopatrol,"Max HP: 15, Attack: 3, Defense: 4. The heavy-metal Koopatrol feels no remorse. It'll roll right over its own Koopa granny. But it's not well-suited for aquatic operations.",Card Shop; Catch Card/SP,★,12
14,Dark Koopatrol,"Max HP: 30, Attack: 6, Defense: 8. Dark Koopatrols dwell in a certain secret pit. Stomp them to turn them into...dark shells. Shocker! (US)",Card Shop; Catch Card/SP,★,15
15,Paratroopa,"Max HP: 1, Attack: 1, Defense: 1. This Koopa Troopa breezed through flight school. A quick stomp to the head will ground it. Forever.",Card Shop; Catch Card/SP; Chapter 1-2: Found in a hidden area via a 3D-accessible path behind the first set of mountain platforms in the first area.,★,2
16,Dark Paratroopa,"Max HP: 10, Attack: 2, Defense: 3. Dark Paratroopas defend a certain secret pit. You think they'll turn into Dark Koopas when stomped? ...You'd be right.",Card Shop; Catch Card/SP,★,2
17,Buzzy Beetle,"Max HP: 1, Attack: 1, Defense: 3. This little guy is built to withstand anything. Even a Muth stampede wouldn't flatten it. ...Probably.",Card Shop; Catch Card/SP; Chapter 1-4: Found in a secret area via a 3D-accessible path near the door to the Spiky Tromp trap area.,★,1
18,Spike Top,"Max HP: 1, Attack: 2, Defense: 3. A Buzzy Beetle that's all spiked out and ready to go. Try to control your urge to stomp on it.",Card Shop; Catch Card/SP,★,6
19,Dark Spike Top,"Max HP: 10, Attack: 4, Defense: 6. It's a Dark Spike Top from a certain secret pit. Still cute, despite looking noticeably more evil.",Card Shop; Catch Card/SP,★,2
20,Parabuzzy,"Max HP: 1, Attack: 1, Defense: 3. Just look at this cute little Buzzy Beetle with wings. It'll lose its wings if you stomp on it. Of course, that would be totally heartless.",Card Shop; Catch Card/SP,★,2
21,Spiky Parabuzzy,"Max HP: 1, Attack, 2, Defense: 3. Not so cute anymore, is it? Wings! Spikes! Come on! You can't stomp it, AND it's hard to hammer. Brutal.",Card Shop; Catch Card/SP,★,2
22,Stone Buzzy,"Max HP: 3, Attack: 2. It's a Buzzy Beetle with a rock-hard shell. You'll have to stomp on it a few times to crack it. You may feel a little guilty, but push through it.",Card Shop; Catch Card/SP; Chapter 5-2: Found after gliding over the canyon with the Star Block as Peach and using Mario to flip into 3D.,★,3
23,Dark Stone Buzzy,"Max HP: 3, Attack: 4. It's a Dark Stone Buzzy from a certain secret pit. They look the same, but they're definitely tougher.",Card Shop; Catch Card/SP,★,6
24,Spiny,"Max HP: 4, Attack: 2, Defense: 3. You DO NOT want to step on this razor-sharp baddie. They're born covered in spiny spines. This makes hugging a Spiny a little...awkward.",Card Shop; Catch Card/SP,★,2
25,Dark Spiny,"Max HP: 10, Attack: 4, Defense: 6. This Dark Spiny waddles in a certain secret pit. You can't see its beady little eyes, but it's watching...",Card Shop; Catch Card/SP,★,2
26,Lakitu,"Max HP: 4, Attack: 1. Lakitu chucks Spinys like coins at a Pianta Parlor. What's its problem? Someone made fun of its glasses.",Card Shop; Catch Card/SP,★,7
27,Dull Bones,"Max HP: 15, Attack: 4. This undead Koopa wanders around with a blank stare. It's not too psyched about being dead. It mostly throws bones out of sheer spite.",Card Shop; Catch Card/SP,★,2
28,Dark Dull Bones,"Max HP: 20, Attack: 8. The Dark Dull Bones dwells in a certain secret pit. The bones it throws are really...shady.",Card Shop; Catch Card/SP,★,3
29,Dry Bones,"Max HP: 10, Attack: 2. This resilient revenant won't rest in peace. Maybe it's its undying loyalty to Bowser. Or was it the pie it never got a chance to eat?",Card Shop; Catch Card/SP; Chapter 7-1: Found in a small alcove in 3D to the left of the moving fountains near when Mario found Luigi.,★,2
30,Hammer Bro,"Max HP: 4, Attack: 1, Defense: 1. This elite Koopa has a hankering for hammers. It mostly likes to sit up high and toss down hammers. One day, it'll take the carpentry world by storm.",Card Shop; Catch Card/SP,★★,24
31,Dark Hammer Bro,"Max HP: 20, Attack: 4, Defense: 3. Dark Hammer Bros. terrorize a certain secret pit. Fear them! Fear them or be struck with flying mallets.",Card Shop; Catch Card/SP,★,6
