NAME,MAX_HP,ATTACK,DEFENCE,SCORE,LOCATION(S),TATTLE
Goomba,1,1,0,100,"Lineland Road (1-1), Yold Desert (1-3), Gloam Valley (2-1), The Bitlands (3-1), Castle Bleck Entry (8-1), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 2, 5, 12, 14 (flipping) and 46 (flipping))","It's a Goomba, one of Bowser's minions... Max HP is 1 and Attack is 1. It really puts the ""under"" back in ""underlings""... It has no remarkable traits... They are pretty much the lowest of the low... But I hear Goombas do have their fans, so what can you do..."
Squiglet,2,1,0,100,"Lineland Road (1-1), Yold Desert (1-3), Yold Ruins (1-4), Flipside 1st Floor Outskirts, Flipside B2 Outskirts, Gloam Valley (2-1), Flipside Pit of 100 Trials (Rooms 1, 3, 8, 19, 27, 41 and 97)","This is a Squiglet... It's a small little creature that scurries around on its many legs... Max HP is 2 and Attack is 1. There isn't much else to say about Squiglets... When it spots an enemy, it gets excited and hops up and down..."
Koopa Troopa,1,1,1,100,"Lineland Road (1-1), Mount Lineland (1-2), Gloam Valley (2-1), The Bitlands (3-1), The Dotwood Tree (3-3), Castle Bleck Entry (8-1), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 11, 14, 16, 17, 19, and 28)","Normal: This is a Koopa Troopa. It may be slow, but it is well defended inside its shell... Max HP is 1, Attack is 1, and Defense is 1. If you leap on it, it'll pull its head and limbs in. You can then kick the shell. From what I hear, Goombas have a long-held fear of Koopa Troopas..."
Squig,4,1,0,200,"Lineland Road (1-1), Yold Desert (1-3), Yold Ruins (1-4), Flipside 1st Floor Outskirts, Flipside B2 Outskirts, Gloam Valley (2-1), Flopside 1st Floor Outskirts, Flopside B2 Outskirts, Overthere Stair (7-3), Flipside Pit of 100 Trials (Rooms 3, 7, 8, 18, 33, 35, 37, 44, 59)","It's a Squig... Think of these creatures as tougher Squiglets... Max HP is 4 and Attack is 1. They have a nasty habit of spitting rocks... Thankfully, the rocks are slow and easy to avoid..."
Sproing-Oing,4,1,0,100,"Lineland Road (1-1), Flipside B1 Outskirts, The Bitlands (3-1), Flipside Pit of 100 Trials (rooms 4, 7 and 24)","It's a Sproing-Oing... For some reason, this creature lives to hop endlessly... Max HP is 4 and Attack is 1. If you hurt it, it will split into many Mini-Sproings... I wonder if breaking up is hard to do, even for these creatures... But if you can do enough damage in one hit, you can beat them before they split..."
Mini-Sproing,1,1,0,100,"Lineland Road (1-1), Flipside B1 Outskirts, The Bitlands (3-1), Flipside Pit of 100 Trials (rooms 4, 7 and 24)","It's a Sproing-Oing... For some reason, this creature lives to hop endlessly... Max HP is 1 and Attack is 1. If you hurt it, it will split into many Mini-Sproings... I wonder if breaking up is hard to do, even for these creatures... But if you can do enough damage in one hit, you can beat them before they split..."
Zombie Shroom,1,2,0,300,"Lineland Road (1-1), Yold Desert (1-3), Merlee's Basement (2-4), The Bitlands (3-1), Planet Blobule (4-2), The Whoa Zone (4-4), Gap of Crag (5-2), Floro Caverns (5-3 and 5-4), Overthere Stair (7-3)","That's a Zombie Shroom. It is an evil shroom monster that comes out of ? Blocks... Max HP is 1. Attack is 2. It can move very fast in a limited area... But it has low HP, so you can take it out..."
Piranha Plant,2,1,0,100,"Lineland Road (1-1), Gloam Valley (2-1), The Bitlands (3-1), Floro Caverns (5-3)",This is a notorious Piranha Plant. It is a monstrous flower that lives in pipes... Max HP is 2 and Attack is 1. This strange weed will stay low if you cozy up to the side of its pipe...
Paragoomba,1,1,0,100,"Lineland Road (1-1), Gloam Valley (2-1), The Bitlands (3-1), Flipside Pit of 100 Trials (Rooms 12 and 26)","That's a Paragoomba. It is essentially a Goomba...with wings. A flying underling... Max HP is 1 and Attack is 1. Stomp it to turn it back into a Goomba... Then you can stomp it like a normal Goomba, I guess... Ahh...the life of a Goomba..."
Paratroopa,1,1,1,100,"Mount Lineland (1-2), Gloam Valley (2-1), The Bitlands (3-1), The Dotwood Tree (3-3), Flipside Pit of 100 Trials (Rooms 11 and 46)","Normal: This is a Paratroopa. It's like a Koopa Troopa, but it can fly... Its movement may vary slightly, depending on the color of its shell... Max HP is 1, Attack is 1, and Defense is 1. Stomp it to remove its wings... A Koopa without wings is a very sad Koopa..."
